dataset,method,category,scope,seed,n_decisions,fee,annualization_factor,protocol_id,split_protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.4400658755736924,0.5676546026041496,0.4939010435220581,0.29357643117587306,1.6823593145533418,0.2563232184252613,2.214604693603542,22.20584464451033
DJIA30_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.6146739858808097,0.6232239547506155,0.5389226992722973,0.32638641432066134,1.6511799377250664,0.2790851593039799,2.2330960066271355,27.615087257231217
DJIA30_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.671404007864067,0.6408797101398074,0.5615922385347725,0.36158240838031747,1.5531514407749667,0.3387018602591455,1.8921647186982127,21.10938505685286
DJIA30_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.3568539043684003,0.5404785728020716,0.47135095084836187,0.2760608486069531,1.7074168728628982,0.22375104837506576,2.4155353761564813,19.504946703903457
DJIA30_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.249797179620352,0.5048051105435014,0.4437719616439832,0.26040523995980724,1.7041591087509531,0.24350637871380643,2.073067297907625,14.48128351726233
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,1,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.6576863182284518,0.29011726114886427,0.28990810707460574,0.26526897580177183,1.0928835767483267,0.35361782481007353,0.8204260102122536,48.3729984556589
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,2,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.508197777990309,0.5895651641597581,0.5379702853909628,0.38514815149581594,1.396787919925424,0.3336959256987654,1.7667736365830595,47.473787500688104
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,3,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,4,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.181419248895382,0.48157802235180336,0.46027956221412636,0.36857370769606923,1.2488127953871277,0.259155649100259,1.8582578617280932,72.38763107295969
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,5,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.4234427542855097,0.5622628796470905,0.5013717167672227,0.3306324207379136,1.5164021593776222,0.2787952891431833,2.0167588963754848,37.321602889243984
