dataset,method,category,scope,n,seed_scope,APV_mean,APV_std,APV_ci95_low,APV_ci95_high,GARR_mean,GARR_std,GARR_ci95_low,GARR_ci95_high,ARR_mean,ARR_std,ARR_ci95_low,ARR_ci95_high,AVol_mean,AVol_std,AVol_ci95_low,AVol_ci95_high,ASR_mean,ASR_std,ASR_ci95_low,ASR_ci95_high,MDD_mean,MDD_std,MDD_ci95_low,MDD_ci95_high,Calmar_mean,Calmar_std,Calmar_ci95_low,Calmar_ci95_high,Turnover_mean,Turnover_std,Turnover_ci95_low,Turnover_ci95_high
DJIA30_2026,Buy-and-Hold Equal Weight,Classical baseline,common fixed five-day,1,deterministic,1.4705378630943748,0.0,1.4705378630943748,1.4705378630943748,0.21452933904688032,0.0,0.21452933904688032,0.21452933904688032,0.2043123819109962,0.0,0.2043123819109962,0.2043123819109962,0.13827121762825983,0.0,0.13827121762825983,0.13827121762825983,1.4776204723985804,0.0,1.4776204723985804,1.4776204723985804,0.15206653127006986,0.0,0.15206653127006986,0.15206653127006986,1.4107597329610724,0.0,1.4107597329610724,1.4107597329610724,1.0000000000000113,0.0,1.0000000000000113,1.0000000000000113
DJIA30_2026,Equal-Weight Rebalanced,Classical baseline,common fixed five-day,1,deterministic,1.4366654810916077,0.0,1.4366654810916077,1.4366654810916077,0.20034821548562176,0.0,0.20034821548562176,0.20034821548562176,0.19196300850363232,0.0,0.19196300850363232,0.19196300850363232,0.1339837258489181,0.0,0.1339837258489181,0.1339837258489181,1.4327337688764714,0.0,1.4327337688764714,1.4327337688764714,0.13569997525302135,0.0,0.13569997525302135,0.13569997525302135,1.4764056891835065,0.0,1.4764056891835065,1.4764056891835065,3.3438779479808933,0.0,3.3438779479808933,3.3438779479808933
DJIA30_2026,Minimum Variance (15-day shrinkage),Classical baseline,common fixed five-day,1,deterministic,1.09015101014793,0.0,1.09015101014793,1.09015101014793,0.04446352349071625,0.0,0.04446352349071625,0.04446352349071625,0.05192860924360044,0.0,0.05192860924360044,0.05192860924360044,0.12995015081864025,0.0,0.12995015081864025,0.12995015081864025,0.39960407061068004,0.0,0.39960407061068004,0.39960407061068004,0.16071697403029184,0.0,0.16071697403029184,0.16071697403029184,0.2766572962127559,0.0,0.2766572962127559,0.2766572962127559,77.30206142530932,0.0,77.30206142530932,77.30206142530932
DJIA30_2026,Momentum-15 Top-5 Equal Weight,Classical baseline,common fixed five-day,1,deterministic,1.2364719914746287,0.0,1.2364719914746287,1.2364719914746287,0.11291213708782877,0.0,0.11291213708782877,0.11291213708782877,0.12184824229223153,0.0,0.12184824229223153,0.12184824229223153,0.1718360523080576,0.0,0.1718360523080576,0.1718360523080576,0.7090959123862386,0.0,0.7090959123862386,0.7090959123862386,0.22430674118403637,0.0,0.22430674118403637,0.22430674118403637,0.5033827182001099,0.0,0.5033827182001099,0.5033827182001099,97.19468220787563,0.0,97.19468220787563,97.19468220787563
DJIA30_2026,Volatility-Scaled Momentum-15 Top-5,Classical baseline,common fixed five-day,1,deterministic,1.2632730198423257,0.0,1.2632730198423257,1.2632730198423257,0.12500537994628358,0.0,0.12500537994628358,0.12500537994628358,0.13111343303468603,0.0,0.13111343303468603,0.13111343303468603,0.16310490429890884,0.0,0.16310490429890884,0.16310490429890884,0.8038595381191317,0.0,0.8038595381191317,0.8038595381191317,0.18289959222754215,0.0,0.18289959222754215,0.18289959222754215,0.6834645087167094,0.0,0.6834645087167094,0.6834645087167094,110.58868732808763,0.0,110.58868732808763,110.58868732808763
DJIA30_2026,DeepTrader,Learned baseline,common fixed five-day,10,001-010,1.4138559102031623,0.2302403343135102,1.249151897018998,1.5785599233873264,0.1871256096955395,0.0980258250862974,0.11700215875658425,0.25724906063449476,0.1890670015447644,0.08609853188505064,0.12747582216685796,0.25065818092267084,0.2012542900697424,0.02041714751465694,0.18664874259491077,0.21585983754457405,0.9215341261615088,0.3752644559782132,0.6530861060121695,1.189982146310848,0.22167941072797026,0.023718806028397744,0.2047119990341773,0.23864682242176322,0.8585349879931525,0.4531805870010691,0.534349125430098,1.182720850556207,75.49771682154348,36.918859115834806,49.08755599247302,101.90787765061393
DJIA30_2026,FinGAT,Learned baseline,common fixed five-day,10,001-010,1.262410514903979,0.1437479487971538,1.1595794270128175,1.3652416027951406,0.12295165606777496,0.06502745893980051,0.07643381423746483,0.16946949789808508,0.13064590254478237,0.06071713546334834,0.08721148038031978,0.17408032470924495,0.17791214134574657,0.019395626952060617,0.16403734565995925,0.19178693703153388,0.7234772408611763,0.310240687767184,0.5015444223538326,0.94541005936852,0.20492919617947608,0.030838627814825825,0.1828685708014814,0.22698982155747077,0.6047401180559822,0.3250157190461276,0.3722378788873135,0.8372423572246508,126.59060519133473,14.350303852561163,116.32501622762767,136.8561941550418
DJIA30_2026,GERU,Learned baseline,common fixed five-day,10,001-010,1.2747916704770101,0.1748777612471362,1.1496916562681823,1.399891684685838,0.12788466582141278,0.07623487846889934,0.0733495190328513,0.18241981260997425,0.13408245644491584,0.06624041383163798,0.08669691895609888,0.1814679939337328,0.17531141694718447,0.017900437063707423,0.1625062156737681,0.18811661822060083,0.7739291866936957,0.43158344012425165,0.46519299229823546,1.082665381089156,0.15818334817991958,0.04234862428587598,0.1278889673386612,0.18847772902117796,0.8527040089090893,0.5766841481328359,0.44016902097845534,1.2652389968397233,133.86117541977652,20.899202064217892,118.91078689386188,148.81156394569115
DJIA30_2026,MASTER,Learned baseline,common fixed five-day,10,001-010,1.358638189088372,0.223834214890973,1.1985168376735928,1.5187595405031513,0.1637191879845642,0.09344490396538724,0.09687273060515889,0.2305656453639695,0.1680032087111507,0.078295901013046,0.1119936952122727,0.22401272221002871,0.19432208007849147,0.00968466298376204,0.18739408953105882,0.20125007062592412,0.861683737295832,0.3872052105336421,0.584693815912766,1.138673658678898,0.19790278884924892,0.039223707605676825,0.16984383873575393,0.2259617389627439,0.9091873517346725,0.6552565510725831,0.44044505274238066,1.3779296507269643,132.54555789081897,5.115692965272141,128.886011599286,136.20510418235193
DJIA30_2026,StockFormer v2,Learned baseline,common fixed five-day,10,001-010,1.1761715550294332,0.12818873787723994,1.0844708561212864,1.26787225393758,0.08381765367156202,0.05857775479042751,0.041913652245973515,0.12572165509715053,0.09326318243560933,0.05366462831640362,0.054873819963121115,0.13165254490809752,0.16696084531454133,0.012377493326668711,0.15810651998470304,0.17581517064437963,0.555591929483836,0.3194756115622259,0.3270528444635961,0.7841310145040759,0.19056472850576173,0.033300689487482764,0.16674285030730623,0.21438660670421722,0.45789083624444593,0.3044739410445588,0.24008329983011578,0.6756983726587761,167.4949372068977,7.0677443274578575,162.43897749261572,172.55089692117969
