dataset,universe_id,symbol,asset_order,sector_index,sector_label,sector_label_source
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,PEP,8,0,Consumer & Retail,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,MCD,9,0,Consumer & Retail,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,BRK.B,10,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,JPM,11,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,V,12,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,MA,13,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,BAC,14,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,GS,15,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,WFC,16,1,Financials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,LLY,17,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,JNJ,18,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,ABBV,19,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,UNH,20,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,MRK,21,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,ISRG,22,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,ABT,23,2,Health Care,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,XOM,24,3,Industrials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,CAT,25,3,Industrials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,CVX,26,3,Industrials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,GE,27,3,Industrials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,LIN,28,3,Industrials,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,NVDA,29,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,AAPL,30,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,MSFT,31,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,GOOGL,32,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,AVGO,33,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,GOOG,34,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,META,35,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,AMD,36,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,CSCO,37,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,NFLX,38,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,ORCL,39,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,TXN,40,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,IBM,41,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,VZ,42,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,DIS,43,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,T,44,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,CRM,45,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,NOW,46,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,ACN,47,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,ADBE,48,4,Technology,archived order.csv index with documented broad-group mapping
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,INTU,49,4,Technology,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,1216.TW,0,0,Archived broad group 0,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2207.TW,1,0,Archived broad group 0,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2880.TW,2,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2881.TW,3,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2882.TW,4,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2883.TW,5,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2884.TW,6,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2885.TW,7,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2886.TW,8,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2887.TW,9,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2890.TW,10,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2891.TW,11,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2892.TW,12,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,5880.TW,13,1,Archived broad group 1,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,1301.TW,14,3,Archived broad group 3,archived order.csv index with documented broad-group mapping
