dataset,universe_id,universe_type,n_assets,symbols,excluded_tickers,exclusion_reason,point_in_time_universe,survivorship_bias_note
DJIA30_2026,5db9dc7d2a8fbde2f7d107d0ee5bdb9495c6610317678c885fe929f9fd592de6,retrospectively locked constituent universe,30,AMZN;KO;HD;MCD;NKE;PG;WMT;AXP;GS;JPM;TRV;V;AMGN;JNJ;MRK;UNH;MMM;BA;CAT;CVX;SHW;HON;AAPL;CSCO;DIS;IBM;NVDA;MSFT;CRM;VZ,,none recorded for the locked DJIA30 universe,False,fixed ex-post universe; not claimed as point-in-time constituent reconstruction
SP500_TOP50_EX_PLTR_2026,038959996bca364e6de76a4f19f10756229314247d245f1c6f5eb009a9964953,retrospectively locked constituent universe,50,AMZN;TSLA;WMT;COST;HD;KO;PG;PM;PEP;MCD;BRK.B;JPM;V;MA;BAC;GS;WFC;LLY;JNJ;ABBV;UNH;MRK;ISRG;ABT;XOM;CAT;CVX;GE;LIN;NVDA;AAPL;MSFT;GOOGL;AVGO;GOOG;META;AMD;CSCO;NFLX;ORCL;TXN;IBM;VZ;DIS;T;CRM;NOW;ACN;ADBE;INTU,PLTR,insufficient historical OHLC before 2020; excluded without replacement,False,fixed ex-post universe; not claimed as point-in-time constituent reconstruction
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,retrospectively locked constituent universe,44,1216.TW;2207.TW;2880.TW;2881.TW;2882.TW;2883.TW;2884.TW;2885.TW;2886.TW;2887.TW;2890.TW;2891.TW;2892.TW;5880.TW;1301.TW;1303.TW;2002.TW;2059.TW;2603.TW;6505.TW;2301.TW;2303.TW;2308.TW;2317.TW;2327.TW;2330.TW;2344.TW;2345.TW;2357.TW;2360.TW;2368.TW;2382.TW;2383.TW;2395.TW;2408.TW;2412.TW;2449.TW;2454.TW;3008.TW;3017.TW;3045.TW;3231.TW;3711.TW;4904.TW,3661.TW;6919.TW;7769.TW;1590.TW;3653.TW;6669.TW,insufficient common Yahoo OHLC availability for 2009-2025; excluded without replacement,False,fixed ex-post universe; not claimed as point-in-time constituent reconstruction
