Ticker,index,order
AMZN,0,0
TSLA,0,1
WMT,0,2
COST,0,3
HD,0,4
KO,0,5
PG,0,6
PM,0,7
PEP,0,8
MCD,0,9
BRK.B,1,10
JPM,1,11
V,1,12
MA,1,13
BAC,1,14
GS,1,15
WFC,1,16
LLY,2,17
JNJ,2,18
ABBV,2,19
UNH,2,20
MRK,2,21
ISRG,2,22
ABT,2,23
XOM,3,24
CAT,3,25
CVX,3,26
GE,3,27
LIN,3,28
NVDA,4,29
AAPL,4,30
MSFT,4,31
GOOGL,4,32
AVGO,4,33
GOOG,4,34
META,4,35
AMD,4,36
CSCO,4,37
NFLX,4,38
ORCL,4,39
TXN,4,40
IBM,4,41
VZ,4,42
DIS,4,43
T,4,44
CRM,4,45
NOW,4,46
ACN,4,47
ADBE,4,48
INTU,4,49
