dataset,method,n,seed_scope,scope,APV_mean,APV_std,APV_ci95_low,APV_ci95_high,GARR_mean,GARR_std,GARR_ci95_low,GARR_ci95_high,ARR_mean,ARR_std,ARR_ci95_low,ARR_ci95_high,AVol_mean,AVol_std,AVol_ci95_low,AVol_ci95_high,ASR_mean,ASR_std,ASR_ci95_low,ASR_ci95_high,MDD_mean,MDD_std,MDD_ci95_low,MDD_ci95_high,Calmar_mean,Calmar_std,Calmar_ci95_low,Calmar_ci95_high,Turnover_mean,Turnover_std,Turnover_ci95_low,Turnover_ci95_high,mean_horizon_mean,mean_horizon_std,mean_horizon_ci95_low,mean_horizon_ci95_high
DJIA30_2026,DeepAries native 1/5/20-day,10,001-010,supplementary native-clock only; excluded from fixed-five rankings,1.3157055124785788,0.051787564847698295,1.2786589203213743,1.3527521046357833,0.16412347934588606,0.02379796532508222,0.1470994405025381,0.18114751818923402,0.16282913109375913,0.022519739620179925,0.14671947983580222,0.17893878235171604,0.1453948756171374,0.020344214594077408,0.13084150121071494,0.15994825002355986,1.1277362516429563,0.12971444955677303,1.0349441243483353,1.2205283789375774,0.13298986491704504,0.038502709489221965,0.10544668578534787,0.16053304404874222,1.3533559914361537,0.47633365003510564,1.0126074253373272,1.6941045575349802,32.53064533488056,25.864272443156437,14.028459424761849,51.03283124499927,10.33027138593702,7.1784147827116165,5.195142797202358,15.465399974671683
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,10,001-010,supplementary native-clock only; excluded from fixed-five rankings,1.3859208696206593,0.13833536326007564,1.2869617121726036,1.484880027068715,0.19553428557841326,0.06385034831861786,0.14985849796005757,0.24121007319676896,0.19125207878138664,0.05476780846336115,0.15207354877224263,0.23043060879053065,0.16018952677046172,0.02936788578799122,0.13918100685826446,0.181198046682659,1.2237875545955963,0.36445114103794446,0.9630749139652139,1.4845001952259786,0.15162313098274102,0.04742899612675808,0.11769447106020872,0.18555179090527332,1.4259005815195074,0.6400936075181246,0.9680051989137408,1.883795964125274,62.88098710873485,64.6424346374735,16.63857507206089,109.12339914540881,10.939074715470134,8.226919256374938,5.053891210559278,16.82425822038099
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,10,001-010,supplementary native-clock only; excluded from fixed-five rankings,1.7347501314039442,0.426268933230949,1.4298157062164367,2.039684556591452,0.3671779861823417,0.19735455773851102,0.22599904037931157,0.5083569319853718,0.3281791562777172,0.15866638130814403,0.2146760646635616,0.4416822478918728,0.20402617125897407,0.07029304692126552,0.1537415547021268,0.25431078781582134,1.5549106861580804,0.40811182953816555,1.262965070489631,1.8468563018265298,0.16961943415577005,0.062256981622971774,0.12508347240688844,0.21415539590465166,2.2805214262701163,1.2389050862959035,1.3942621169461595,3.166780735594073,35.67250390638557,30.206734042983086,14.063908101918447,57.2810997108527,11.615404304999915,7.712160748742831,6.0984568534308385,17.13235175656899
