dataset,step,information_end_date,execution_date,target_end_date,market_proxy_5d_return,trailing_12step_compounded_return,trailing_12step_annualized_volatility,validation_q75_volatility_threshold,regime,proposed_mean_wealth
DJIA30_2026,0,2024-01-02,2024-01-03,2024-01-10,0.011293154954910234,0.14362031142150622,0.13614707468646953,0.19076595792690793,Bull,1.0842357222330428
DJIA30_2026,1,2024-01-09,2024-01-10,2024-01-18,-0.00039154887199399635,0.1378168821479877,0.1376896766629191,0.19076595792690793,Bull,1.1134779539305255
DJIA30_2026,2,2024-01-17,2024-01-18,2024-01-25,0.020748392740885357,0.17979803077618794,0.12513669896223925,0.19076595792690793,Bull,1.1710314533781336
DJIA30_2026,3,2024-01-24,2024-01-25,2024-02-01,0.012561531861623232,0.2153245985614778,0.10448264026248741,0.19076595792690793,Bull,1.1809027051020233
DJIA30_2026,4,2024-01-31,2024-02-01,2024-02-08,0.010698272784551044,0.16431679102668806,0.05942388964462967,0.19076595792690793,Bull,1.2578147826929933
DJIA30_2026,5,2024-02-07,2024-02-08,2024-02-15,0.004645208517710442,0.15955740795005435,0.061274570416052575,0.19076595792690793,Bull,1.2824961480963746
DJIA30_2026,6,2024-02-14,2024-02-15,2024-02-23,0.012432861328125044,0.15217692876006117,0.05955353139941193,0.19076595792690793,Bull,1.3444077684555054
DJIA30_2026,7,2024-02-22,2024-02-23,2024-03-01,0.002394608656565378,0.14162035941406703,0.06267428502421238,0.19076595792690793,Bull,1.3753171996174776
DJIA30_2026,8,2024-02-29,2024-03-01,2024-03-08,-0.002596332629521636,0.11334117954234557,0.06268783572501596,0.19076595792690793,Bull,1.4033642236324144
DJIA30_2026,9,2024-03-07,2024-03-08,2024-03-15,0.0013604998588561124,0.10781888525795358,0.06447140773070145,0.19076595792690793,Bull,1.4056981287332757
DJIA30_2026,10,2024-03-14,2024-03-15,2024-03-22,0.017995254198710064,0.09731642377433669,0.053358234438248116,0.19076595792690793,Bull,1.4689842234874941
DJIA30_2026,11,2024-03-21,2024-03-22,2024-04-01,0.005147995551427309,0.10033136501375894,0.05237036150137,0.19076595792690793,Bull,1.4353266125398965
DJIA30_2026,12,2024-03-28,2024-04-01,2024-04-08,-0.016773470242818167,0.06979364421160117,0.07218298079857184,0.19076595792690793,Bull,1.4069423130602323
DJIA30_2026,13,2024-04-05,2024-04-08,2024-04-15,-0.024797072013219235,0.04367454376714286,0.09524215223432801,0.19076595792690793,Bull,1.3902989579397589
DJIA30_2026,14,2024-04-12,2024-04-15,2024-04-22,0.0066826204458871885,0.029292852267932323,0.08774017002482223,0.19076595792690793,Bull,1.3267835347015258
DJIA30_2026,15,2024-04-19,2024-04-22,2024-04-29,0.008337028821309378,0.024998544567159664,0.0859243399998421,0.19076595792690793,Bull,1.4064273842151898
DJIA30_2026,16,2024-04-26,2024-04-29,2024-05-06,0.012123237053553337,0.026443670517324325,0.086622393479124,0.19076595792690793,Bull,1.4640477144803727
DJIA30_2026,17,2024-05-03,2024-05-06,2024-05-13,0.011794171730677316,0.03374774958772342,0.08874267426321404,0.19076595792690793,Bull,1.4591315606171675
DJIA30_2026,18,2024-05-10,2024-05-13,2024-05-20,0.008742521206537957,0.02997971622806017,0.08722453522706239,0.19076595792690793,Bull,1.5016569576663394
DJIA30_2026,19,2024-05-17,2024-05-20,2024-05-28,-0.014825109640757228,0.012286124889641314,0.09421005063524125,0.19076595792690793,Bull,1.6524135104870503
DJIA30_2026,20,2024-05-24,2024-05-28,2024-06-04,0.007474843660990382,0.022507575194792073,0.09465976410983487,0.19076595792690793,Bull,1.6775889758242304
DJIA30_2026,21,2024-06-03,2024-06-04,2024-06-11,0.0009753108024597168,0.02211425158346314,0.0946738318485086,0.19076595792690793,Bull,1.7368582296557413
DJIA30_2026,22,2024-06-10,2024-06-11,2024-06-18,0.0044912974039712505,0.008555655277889374,0.08796657205066466,0.19076595792690793,Bull,1.83576219813882
DJIA30_2026,23,2024-06-17,2024-06-18,2024-06-26,0.0071375528971353575,0.010551957634750808,0.08851190857726825,0.19076595792690793,Bull,1.7934201802750145
DJIA30_2026,24,2024-06-25,2024-06-26,2024-07-03,-0.0016653796037038315,0.026079926123609987,0.07962240516853335,0.19076595792690793,Bull,1.8214552718015746
DJIA30_2026,25,2024-07-02,2024-07-03,2024-07-11,0.010389308134714836,0.06310200358730578,0.053225507022880335,0.19076595792690793,Bull,1.8199820583896127
DJIA30_2026,26,2024-07-10,2024-07-11,2024-07-18,0.015614251295725579,0.07253420640765396,0.057397014681080355,0.19076595792690793,Bull,1.7623034521176826
DJIA30_2026,27,2024-07-17,2024-07-18,2024-07-25,-0.016011546055475834,0.04663544568956679,0.07236521418500408,0.19076595792690793,Bull,1.6781822892441376
