dataset,method,seed,protocol_id,split_protocol_id,accounting_protocol_id,fee,target,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover,mean_horizon,total_holding_sessions,n_decisions
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,5,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.5804679911561008,0.28499073012554454,0.2638456050025798,0.14826430580286065,1.7795625425407624,0.12128870525628144,2.3496889469086417,15.493435278262385,20.0,460.0,23
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,6,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.5065792754982323,0.2517242177602683,0.2448890527578447,0.19392203300980618,1.26282222270979,0.20391550082012122,1.2344535689923852,25.910414419448927,20.0,460.0,23
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,7,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.172239053639648,0.09372579244171275,0.10835170123689339,0.1942969416887757,0.5576603537612591,0.23697343798548565,0.39551180604238584,218.56632652507452,1.044392523364486,447.0,428
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,8,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.4726702792821136,0.235076678562254,0.22228002609913886,0.14380092992595764,1.5457481826688444,0.10148248649273328,2.3164260818450364,36.31481941249661,10.744186046511627,462.0,43
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,9,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2482705922746617,0.13222540119104553,0.13612080217328415,0.15427515716010554,0.882324832325525,0.14760626391631793,0.8957980351430599,36.54847554934767,8.823529411764707,450.0,51
SP500_TOP50_EX_PLTR_2026,DeepAries native 1/5/20-day,10,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.2876144143192993,0.1485331680531503,0.14338622575893814,0.09813487651794504,1.461113834822204,0.08802136784060499,1.6874671650425173,40.6654900757386,3.59375,460.0,128
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,1,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.575064968314067,0.2971739422595583,0.2744553262093657,0.1576011191153794,1.7414554398464492,0.1037606454725285,2.8640332845485004,23.207520178830872,20.0,440.0,22
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,2,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",2.1558025832868655,0.5685934011619782,0.4959532795135075,0.2938641361594602,1.6876958379309925,0.24167898157505308,2.352680392214423,42.473328452812886,6.056338028169014,430.0,71
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,3,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.1834981214139804,0.10326815859513938,0.10738825879316048,0.1340222618104847,0.8012717987479852,0.1885363985427153,0.5477359246986075,35.43935475337622,4.2772277227722775,432.0,101
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",2.35112605916797,0.6316982294587388,0.5244656175130034,0.23407835569921137,2.2405557999857835,0.12859399633944324,4.912346201538647,10.579621829259658,20.0,440.0,22
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,5,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.358678613061562,0.1918993612037716,0.18298801506026904,0.11465940371537085,1.595926798246015,0.10183982388005619,1.8843253443739727,14.761375883257518,20.0,440.0,22
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,6,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.6974360076057415,0.3493673609671566,0.31911370553264934,0.18890359167083737,1.6892940081769425,0.11507318492128848,3.0360449413660384,25.6647029362658,17.115384615384617,445.0,26
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,7,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",2.0016294218416815,0.5032685268587325,0.441617225699655,0.2583024446698672,1.709690460979105,0.27850732360206076,1.807020800565435,115.35259850174448,1.0971867007672633,429.0,391
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,8,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",2.2487574152696395,0.6078840902947016,0.5201727538820655,0.2944049564737372,1.7668614010867314,0.20857024414836978,2.914529312543133,45.45599705131063,5.0,430.0,86
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,9,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.5096177788784408,0.2729882133198698,0.27261881701553564,0.24608439799723758,1.1078264986900792,0.19889951506287573,1.3724931065496728,24.977231747928776,16.53846153846154,430.0,26
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,DeepAries native 1/5/20-day,10,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.001,"adjusted_close[t+1+h] / adjusted_close[t+1] - 1 for h in {1,5,20}",1.265890345199494,0.14563857770376987,0.1430185635579604,0.11834104527815467,1.2085288178907196,0.13073422801330936,1.1140049543027337,18.813307729068868,6.069444444444445,437.0,72
